City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,tsiombe,-25.3,45.4833,26.25,46,10,5.01,MG,1682507241
128,port douglas,-16.4833,145.4667,23.91,80,24,5.11,AU,1682507527
129,kani keli,-12.9536,45.1033,30.59,74,36,4.56,YT,1682507527
130,uzhur,55.3036,89.8339,2.5,61,100,5.02,RU,1682507528
131,narasannapeta,18.4167,84.05,30.65,60,71,5.62,IN,1682507528
132,potosi,-19.5836,-65.7531,3.89,26,0,1.66,BO,1682507528
133,morteros,-30.7116,-61.9986,14.39,91,7,1.42,AR,1682507529
134,tiksi,71.6872,128.8694,-12.47,93,15,1.3,RU,1682507529
135,mana,5.6592,-53.7767,24.38,93,100,3.55,GF,1682507529
136,aasiaat,68.7098,-52.8699,-0.46,98,100,1.91,GL,1682507530
137,thompson,55.7435,-97.8558,-3.75,95,96,3.64,CA,1682507530
138,volgograd,48.7194,44.5018,20.38,42,0,6.0,RU,1682507233
139,whitehorse,60.7161,-135.0538,-2.05,63,100,0.89,CA,1682507531
140,port alfred,-33.5906,26.891,23.99,87,12,3.58,ZA,1682507532
141,punta arenas,-53.15,-70.9167,7.06,70,40,7.72,CL,1682507532
142,hermanus,-34.4187,19.2345,21.56,68,91,3.41,ZA,1682507533
143,talnakh,69.4865,88.3972,-0.44,94,99,2.98,RU,1682507533
144,virginia,37.5481,-77.4467,6.25,92,40,2.06,US,1682507392
145,ushuaia,-54.8,-68.3,6.81,57,75,2.57,AR,1682507458
146,nizhneangarsk,55.7833,109.55,1.61,72,45,3.81,RU,1682507534
147,yeppoon,-23.1333,150.7333,21.88,73,2,9.2,AU,1682507535
148,madingou,-4.1536,13.55,29.22,71,98,0.2,CG,1682507536
149,oranjemund,-28.55,16.4333,18.81,70,79,4.46,NA,1682507536
150,ocean city,39.2776,-74.5746,9.99,80,6,0.84,US,1682507536
151,queenstown,-31.8976,26.8753,27.33,19,2,4.59,ZA,1682507537
152,la manga del mar menor,37.6413,-0.7165,28.36,75,40,4.47,ES,1682507538
153,shovot,41.6607,60.2924,32.02,7,34,8.29,UZ,1682507539
154,howard springs,-12.497,131.047,26.95,93,71,2.33,AU,1682507539
155,montes claros,-16.735,-43.8617,22.59,71,3,3.13,BR,1682507260
156,taltal,-25.4,-70.4833,16.77,83,38,0.27,CL,1682507540
157,sangueya,10.7,-14.3667,33.67,36,100,1.84,GN,1682507541
158,harper,4.375,-7.7169,25.25,87,100,4.59,LR,1682507541
159,bandarbeyla,9.4942,50.8122,31.26,64,10,8.39,SO,1682507542
160,anshun,26.25,105.9333,17.6,61,73,6.17,CN,1682507542
161,uturoa,-16.7333,-151.4333,27.76,76,95,2.98,PF,1682507542
162,axim,4.8699,-2.2405,29.84,66,100,3.89,GH,1682507543
163,san rafael del yuma,18.4299,-68.6739,22.11,81,21,1.79,DO,1682507543
164,dadhar,29.4753,67.6514,36.85,9,100,3.8,PK,1682507544
165,arteche,12.2645,125.4048,26.15,84,92,1.89,PH,1682507544
166,holualoa,19.6228,-155.9522,21.91,97,100,2.24,US,1682507544
167,nar'yan-mar,67.6713,53.087,-0.18,88,7,4.61,RU,1682507545
168,chonchi,-42.6128,-73.8092,7.84,97,92,0.74,CL,1682507545
169,giado,31.9582,12.0203,29.23,13,3,5.38,LY,1682507546
170,boa vista,2.8197,-60.6733,22.99,94,100,1.54,BR,1682507546
171,portel,-1.9356,-50.8211,24.13,95,55,0.69,BR,1682507347
172,loen,7.7601,168.2307,28.01,79,88,8.73,MH,1682507547
173,geraldton,-28.7667,114.6,19.23,68,28,3.6,AU,1682507547
174,ancud,-41.8697,-73.8203,10.77,93,89,1.15,CL,1682507548
175,tynda,55.1667,124.7167,-4.17,86,40,1.18,RU,1682507548
176,cabo san lucas,22.8909,-109.9124,19.78,68,93,6.28,MX,1682507411
177,labrador city,52.9463,-66.9114,2.7,86,81,1.21,CA,1682507549
178,ishigaki,24.3448,124.1572,21.3,79,100,10.97,JP,1682507550
